#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113045E+04   0.339913E+01   0.343801E-02   0.339913E+01   0.548808E-01  -0.163874E-04   0.343801E-02  -0.163874E-04   0.488588E-07
     3   0.105213E+04   0.425019E+01   0.341775E-02   0.425019E+01   0.883130E-01  -0.198897E-04   0.341775E-02  -0.198897E-04   0.594191E-07
     4   0.979505E+03   0.435801E+01   0.332633E-02   0.435801E+01   0.977554E-01  -0.198381E-04   0.332633E-02  -0.198381E-04   0.684206E-07
     5   0.923565E+03   0.402700E+01   0.320837E-02   0.402700E+01   0.853385E-01  -0.172794E-04   0.320837E-02  -0.172794E-04   0.762165E-07
     6   0.882893E+03   0.349185E+01   0.308253E-02   0.349185E+01   0.620300E-01  -0.131637E-04   0.308253E-02  -0.131637E-04   0.830008E-07
     7   0.854566E+03   0.290115E+01   0.295848E-02   0.290115E+01   0.388816E-01  -0.840227E-05   0.295848E-02  -0.840227E-05   0.889556E-07
     8   0.835360E+03   0.234534E+01   0.283691E-02   0.234534E+01   0.222142E-01  -0.381773E-05   0.283691E-02  -0.381773E-05   0.942114E-07
     9   0.823142E+03   0.187046E+01   0.271703E-02   0.187046E+01   0.131021E-01  -0.491085E-07   0.271703E-02  -0.491085E-07   0.988773E-07
    10   0.816343E+03   0.150124E+01   0.260087E-02   0.150124E+01   0.941926E-02   0.256739E-05   0.260087E-02   0.256739E-05   0.103020E-06
    11   0.813390E+03   0.124573E+01   0.249350E-02   0.124573E+01   0.829258E-02   0.399277E-05   0.249350E-02   0.399277E-05   0.106734E-06
    12   0.814392E+03   0.110129E+01   0.239641E-02   0.110129E+01   0.773989E-02   0.432891E-05   0.239641E-02   0.432891E-05   0.110041E-06
    13   0.817567E+03   0.104367E+01   0.230832E-02   0.104367E+01   0.691092E-02   0.374458E-05   0.230832E-02   0.374458E-05   0.112986E-06
    14   0.821977E+03   0.104403E+01   0.222727E-02   0.104403E+01   0.600529E-02   0.246807E-05   0.222727E-02   0.246807E-05   0.115622E-06
    15   0.827883E+03   0.108323E+01   0.215050E-02   0.108323E+01   0.531399E-02   0.917250E-06   0.215050E-02   0.917250E-06   0.117978E-06
    16   0.835656E+03   0.114556E+01   0.207588E-02   0.114556E+01   0.504316E-02  -0.495582E-06   0.207588E-02  -0.495582E-06   0.120080E-06
    17   0.845206E+03   0.121604E+01   0.200455E-02   0.121604E+01   0.518856E-02  -0.156983E-05   0.200455E-02  -0.156983E-05   0.121957E-06
    18   0.855581E+03   0.128308E+01   0.193798E-02   0.128308E+01   0.550844E-02  -0.220216E-05   0.193798E-02  -0.220216E-05   0.123632E-06
    19   0.867607E+03   0.134117E+01   0.187546E-02   0.134117E+01   0.586983E-02  -0.246670E-05   0.187546E-02  -0.246670E-05   0.125118E-06
    20   0.879603E+03   0.138547E+01   0.181589E-02   0.138547E+01   0.625053E-02  -0.245769E-05   0.181589E-02  -0.245769E-05   0.126424E-06
    21   0.891914E+03   0.142198E+01   0.175869E-02   0.142198E+01   0.669536E-02  -0.217274E-05   0.175869E-02  -0.217274E-05   0.127571E-06
    22   0.904808E+03   0.145706E+01   0.170355E-02   0.145706E+01   0.733638E-02  -0.162448E-05   0.170355E-02  -0.162448E-05   0.128580E-06
    23   0.918097E+03   0.149229E+01   0.165091E-02   0.149229E+01   0.822817E-02  -0.982662E-06   0.165091E-02  -0.982662E-06   0.129460E-06
    24   0.931835E+03   0.152843E+01   0.160118E-02   0.152843E+01   0.936653E-02  -0.439001E-06   0.160118E-02  -0.439001E-06   0.130216E-06
    25   0.945963E+03   0.156729E+01   0.155422E-02   0.156729E+01   0.107607E-01  -0.116197E-06   0.155422E-02  -0.116197E-06   0.130861E-06
    26   0.960290E+03   0.161144E+01   0.150971E-02   0.161144E+01   0.123793E-01  -0.757861E-07   0.150971E-02  -0.757861E-07   0.131406E-06
    27   0.975049E+03   0.165794E+01   0.146731E-02   0.165794E+01   0.141782E-01  -0.203697E-06   0.146731E-02  -0.203697E-06   0.131859E-06
    28   0.990093E+03   0.170400E+01   0.142674E-02   0.170400E+01   0.161445E-01  -0.367353E-06   0.142674E-02  -0.367353E-06   0.132227E-06
    29   0.100547E+04   0.174768E+01   0.138815E-02   0.174768E+01   0.182876E-01  -0.535761E-06   0.138815E-02  -0.535761E-06   0.132510E-06
    30   0.102111E+04   0.178585E+01   0.135165E-02   0.178585E+01   0.206242E-01  -0.708672E-06   0.135165E-02  -0.708672E-06   0.132710E-06
    31   0.103686E+04   0.181618E+01   0.131695E-02   0.181618E+01   0.231394E-01  -0.907210E-06   0.131695E-02  -0.907210E-06   0.132838E-06
    32   0.105298E+04   0.183638E+01   0.128364E-02   0.183638E+01   0.258072E-01  -0.113663E-05   0.128364E-02  -0.113663E-05   0.132904E-06
    33   0.106948E+04   0.184376E+01   0.125133E-02   0.184376E+01   0.286383E-01  -0.131731E-05   0.125133E-02  -0.131731E-05   0.132912E-06
    34   0.108618E+04   0.183753E+01   0.121973E-02   0.183753E+01   0.316623E-01  -0.136375E-05   0.121973E-02  -0.136375E-05   0.132866E-06
    35   0.110303E+04   0.182196E+01   0.118894E-02   0.182196E+01   0.349009E-01  -0.125187E-05   0.118894E-02  -0.125187E-05   0.132768E-06
    36   0.111998E+04   0.179995E+01   0.115922E-02   0.179995E+01   0.383750E-01  -0.998828E-06   0.115922E-02  -0.998828E-06   0.132624E-06
    37   0.113703E+04   0.176763E+01   0.113101E-02   0.176763E+01   0.420772E-01  -0.725444E-06   0.113101E-02  -0.725444E-06   0.132436E-06
    38   0.115452E+04   0.172274E+01   0.110461E-02   0.172274E+01   0.460039E-01  -0.545952E-06   0.110461E-02  -0.545952E-06   0.132207E-06
    39   0.117241E+04   0.166736E+01   0.107970E-02   0.166736E+01   0.501667E-01  -0.444595E-06   0.107970E-02  -0.444595E-06   0.131940E-06
    40   0.119041E+04   0.160446E+01   0.105578E-02   0.160446E+01   0.545861E-01  -0.373117E-06   0.105578E-02  -0.373117E-06   0.131637E-06
    41   0.120863E+04   0.153585E+01   0.103243E-02   0.153585E+01   0.592833E-01  -0.293878E-06   0.103243E-02  -0.293878E-06   0.131299E-06
    42   0.122683E+04   0.145963E+01   0.100964E-02   0.145963E+01   0.642592E-01  -0.211713E-06   0.100964E-02  -0.211713E-06   0.130930E-06
    43   0.124516E+04   0.137299E+01   0.987484E-03   0.137299E+01   0.695101E-01  -0.142071E-06   0.987484E-03  -0.142071E-06   0.130531E-06
    44   0.126349E+04   0.127397E+01   0.966042E-03   0.127397E+01   0.750172E-01  -0.100403E-06   0.966042E-03  -0.100403E-06   0.130104E-06
    45   0.128219E+04   0.116075E+01   0.945388E-03   0.116075E+01   0.807720E-01  -0.102161E-06   0.945388E-03  -0.102161E-06   0.129653E-06
    46   0.130119E+04   0.103019E+01   0.925563E-03   0.103019E+01   0.867711E-01  -0.157106E-06   0.925563E-03  -0.157106E-06   0.129179E-06
    47   0.132034E+04   0.884094E+00   0.906461E-03   0.884094E+00   0.930170E-01  -0.252251E-06   0.906461E-03  -0.252251E-06   0.128684E-06
    48   0.133958E+04   0.728107E+00   0.887941E-03   0.728107E+00   0.995211E-01  -0.368921E-06   0.887941E-03  -0.368921E-06   0.128169E-06
    49   0.135899E+04   0.567292E+00   0.869863E-03   0.567292E+00   0.106272E+00  -0.488438E-06   0.869863E-03  -0.488438E-06   0.127636E-06
    50   0.137878E+04   0.399930E+00   0.852083E-03   0.399930E+00   0.113252E+00  -0.592127E-06   0.852083E-03  -0.592127E-06   0.127087E-06
    51   0.139875E+04   0.222473E+00   0.834513E-03   0.222473E+00   0.120436E+00  -0.665262E-06   0.834513E-03  -0.665262E-06   0.126524E-06
    52   0.141910E+04   0.297044E-01   0.817262E-03   0.297044E-01   0.127907E+00  -0.708913E-06   0.817262E-03  -0.708913E-06   0.125946E-06
    53   0.143946E+04  -0.182161E+00   0.800489E-03  -0.182161E+00   0.135808E+00  -0.728102E-06   0.800489E-03  -0.728102E-06   0.125356E-06
    54   0.145974E+04  -0.408940E+00   0.784357E-03  -0.408940E+00   0.144127E+00  -0.727848E-06   0.784357E-03  -0.727848E-06   0.124754E-06
    55   0.148016E+04  -0.646335E+00   0.769026E-03  -0.646335E+00   0.152836E+00  -0.713173E-06   0.769026E-03  -0.713173E-06   0.124140E-06
    56   0.150093E+04  -0.896135E+00   0.754603E-03  -0.896135E+00   0.161789E+00  -0.688628E-06   0.754603E-03  -0.688628E-06   0.123517E-06
    57   0.152198E+04  -0.115817E+01   0.740986E-03  -0.115817E+01   0.170879E+00  -0.656893E-06   0.740986E-03  -0.656893E-06   0.122885E-06
    58   0.154334E+04  -0.143303E+01   0.728021E-03  -0.143303E+01   0.180118E+00  -0.620178E-06   0.728021E-03  -0.620178E-06   0.122243E-06
    59   0.156485E+04  -0.172130E+01   0.715554E-03  -0.172130E+01   0.189548E+00  -0.580695E-06   0.715554E-03  -0.580695E-06   0.121593E-06
    60   0.158655E+04  -0.202217E+01   0.703428E-03  -0.202217E+01   0.199225E+00  -0.540654E-06   0.703428E-03  -0.540654E-06   0.120936E-06
    61   0.160872E+04  -0.233466E+01   0.691512E-03  -0.233466E+01   0.209245E+00  -0.502166E-06   0.691512E-03  -0.502166E-06   0.120271E-06
    62   0.163079E+04  -0.265977E+01   0.679757E-03  -0.265977E+01   0.219594E+00  -0.466936E-06   0.679757E-03  -0.466936E-06   0.119600E-06
    63   0.165295E+04  -0.299857E+01   0.668138E-03  -0.299857E+01   0.230228E+00  -0.436568E-06   0.668138E-03  -0.436568E-06   0.118924E-06
    64   0.167551E+04  -0.335235E+01   0.656627E-03  -0.335235E+01   0.241158E+00  -0.412667E-06   0.656627E-03  -0.412667E-06   0.118243E-06
    65   0.169809E+04  -0.372182E+01   0.645199E-03  -0.372182E+01   0.252355E+00  -0.396837E-06   0.645199E-03  -0.396837E-06   0.117559E-06
    66   0.172097E+04  -0.410518E+01   0.633849E-03  -0.410518E+01   0.263752E+00  -0.390680E-06   0.633849E-03  -0.390680E-06   0.116872E-06
    67   0.174399E+04  -0.449958E+01   0.622657E-03  -0.449958E+01   0.275349E+00  -0.395779E-06   0.622657E-03  -0.395779E-06   0.116184E-06
    68   0.176744E+04  -0.490323E+01   0.611724E-03  -0.490323E+01   0.287187E+00  -0.413713E-06   0.611724E-03  -0.413713E-06   0.115493E-06
    69   0.179108E+04  -0.531427E+01   0.601152E-03  -0.531427E+01   0.299228E+00  -0.446064E-06   0.601152E-03  -0.446064E-06   0.114802E-06
    70   0.181503E+04  -0.573424E+01   0.591044E-03  -0.573424E+01   0.311511E+00  -0.494410E-06   0.591044E-03  -0.494410E-06   0.114109E-06
    71   0.183916E+04  -0.616547E+01   0.581469E-03  -0.616547E+01   0.324028E+00  -0.558164E-06   0.581469E-03  -0.558164E-06   0.113417E-06
    72   0.186348E+04  -0.660937E+01   0.572381E-03  -0.660937E+01   0.336750E+00  -0.628059E-06   0.572381E-03  -0.628059E-06   0.112723E-06
    73   0.188795E+04  -0.706663E+01   0.563701E-03  -0.706663E+01   0.349645E+00  -0.692661E-06   0.563701E-03  -0.692661E-06   0.112030E-06
    74   0.191263E+04  -0.753648E+01   0.555350E-03  -0.753648E+01   0.362700E+00  -0.740536E-06   0.555350E-03  -0.740536E-06   0.111336E-06
    75   0.193761E+04  -0.801752E+01   0.547250E-03  -0.801752E+01   0.375927E+00  -0.760250E-06   0.547250E-03  -0.760250E-06   0.110642E-06
    76   0.196286E+04  -0.850919E+01   0.539331E-03  -0.850919E+01   0.389326E+00  -0.744357E-06   0.539331E-03  -0.744357E-06   0.109948E-06
    77   0.198842E+04  -0.901131E+01   0.531550E-03  -0.901131E+01   0.402889E+00  -0.701366E-06   0.531550E-03  -0.701366E-06   0.109254E-06
    78   0.201432E+04  -0.952528E+01   0.523875E-03  -0.952528E+01   0.416641E+00  -0.643775E-06   0.523875E-03  -0.643775E-06   0.108560E-06
    79   0.204039E+04  -0.100473E+02   0.516270E-03  -0.100473E+02   0.430528E+00  -0.584080E-06   0.516270E-03  -0.584080E-06   0.107867E-06
    80   0.206673E+04  -0.105787E+02   0.508702E-03  -0.105787E+02   0.444553E+00  -0.534779E-06   0.508702E-03  -0.534779E-06   0.107176E-06
    81   0.209324E+04  -0.111200E+02   0.501151E-03  -0.111200E+02   0.458667E+00  -0.505965E-06   0.501151E-03  -0.505965E-06   0.106486E-06
    82   0.212000E+04  -0.116701E+02   0.493650E-03  -0.116701E+02   0.472890E+00  -0.498115E-06   0.493650E-03  -0.498115E-06   0.105798E-06
    83   0.214696E+04  -0.122287E+02   0.486247E-03  -0.122287E+02   0.487197E+00  -0.509297E-06   0.486247E-03  -0.509297E-06   0.105112E-06
    84   0.217418E+04  -0.127937E+02   0.478988E-03  -0.127937E+02   0.501586E+00  -0.537584E-06   0.478988E-03  -0.537584E-06   0.104429E-06
    85   0.220155E+04  -0.133663E+02   0.471920E-03  -0.133663E+02   0.516032E+00  -0.581045E-06   0.471920E-03  -0.581045E-06   0.103748E-06
    86   0.222914E+04  -0.139454E+02   0.465080E-03  -0.139454E+02   0.530546E+00  -0.637193E-06   0.465080E-03  -0.637193E-06   0.103070E-06
    87   0.225717E+04  -0.145301E+02   0.458460E-03  -0.145301E+02   0.545099E+00  -0.701294E-06   0.458460E-03  -0.701294E-06   0.102395E-06
    88   0.228519E+04  -0.151206E+02   0.452041E-03  -0.151206E+02   0.559706E+00  -0.768057E-06   0.452041E-03  -0.768057E-06   0.101723E-06
    89   0.231357E+04  -0.157185E+02   0.445805E-03  -0.157185E+02   0.574351E+00  -0.832190E-06   0.445805E-03  -0.832190E-06   0.101054E-06
    90   0.234215E+04  -0.163210E+02   0.439734E-03  -0.163210E+02   0.588999E+00  -0.888402E-06   0.439734E-03  -0.888402E-06   0.100389E-06
    91   0.237085E+04  -0.169288E+02   0.433810E-03  -0.169288E+02   0.603641E+00  -0.932444E-06   0.433810E-03  -0.932444E-06   0.997270E-07
    92   0.239983E+04  -0.175412E+02   0.428028E-03  -0.175412E+02   0.618263E+00  -0.964246E-06   0.428028E-03  -0.964246E-06   0.990687E-07
    93   0.242907E+04  -0.181583E+02   0.422382E-03  -0.181583E+02   0.632858E+00  -0.984782E-06   0.422382E-03  -0.984782E-06   0.984139E-07
    94   0.245837E+04  -0.187787E+02   0.416869E-03  -0.187787E+02   0.647391E+00  -0.995027E-06   0.416869E-03  -0.995027E-06   0.977627E-07
    95   0.248795E+04  -0.194031E+02   0.411485E-03  -0.194031E+02   0.661862E+00  -0.995954E-06   0.411485E-03  -0.995954E-06   0.971152E-07
    96   0.251751E+04  -0.200308E+02   0.406224E-03  -0.200308E+02   0.676257E+00  -0.988537E-06   0.406224E-03  -0.988537E-06   0.964714E-07
    97   0.254749E+04  -0.206611E+02   0.401083E-03  -0.206611E+02   0.690562E+00  -0.973750E-06   0.401083E-03  -0.973750E-06   0.958313E-07
    98   0.257769E+04  -0.212918E+02   0.396057E-03  -0.212918E+02   0.704769E+00  -0.952568E-06   0.396057E-03  -0.952568E-06   0.951950E-07
    99   0.260794E+04  -0.219259E+02   0.391142E-03  -0.219259E+02   0.718843E+00  -0.925963E-06   0.391142E-03  -0.925963E-06   0.945625E-07
   100   0.263847E+04  -0.225590E+02   0.386334E-03  -0.225590E+02   0.732785E+00  -0.894912E-06   0.386334E-03  -0.894912E-06   0.939339E-07
   101   0.266915E+04  -0.231941E+02   0.381628E-03  -0.231941E+02   0.746654E+00  -0.860386E-06   0.381628E-03  -0.860386E-06   0.933093E-07
   102   0.270033E+04  -0.238290E+02   0.377019E-03  -0.238290E+02   0.760303E+00  -0.823361E-06   0.377019E-03  -0.823361E-06   0.926886E-07
   103   0.273143E+04  -0.244644E+02   0.372505E-03  -0.244644E+02   0.773806E+00  -0.784811E-06   0.372505E-03  -0.784811E-06   0.920720E-07
   104   0.276275E+04  -0.250976E+02   0.368079E-03  -0.250976E+02   0.787165E+00  -0.745708E-06   0.368079E-03  -0.745708E-06   0.914594E-07
   105   0.279421E+04  -0.257298E+02   0.363739E-03  -0.257298E+02   0.800306E+00  -0.707028E-06   0.363739E-03  -0.707028E-06   0.908509E-07
   106   0.282589E+04  -0.263605E+02   0.359479E-03  -0.263605E+02   0.813304E+00  -0.669745E-06   0.359479E-03  -0.669745E-06   0.902466E-07
   107   0.285749E+04  -0.269882E+02   0.355295E-03  -0.269882E+02   0.826011E+00  -0.634832E-06   0.355295E-03  -0.634832E-06   0.896465E-07
   108   0.288946E+04  -0.276137E+02   0.351183E-03  -0.276137E+02   0.838502E+00  -0.603264E-06   0.351183E-03  -0.603264E-06   0.890507E-07
   109   0.292159E+04  -0.282355E+02   0.347139E-03  -0.282355E+02   0.850704E+00  -0.576014E-06   0.347139E-03  -0.576014E-06   0.884592E-07
   110   0.295379E+04  -0.288522E+02   0.343157E-03  -0.288522E+02   0.862617E+00  -0.554056E-06   0.343157E-03  -0.554056E-06   0.878720E-07
   111   0.298614E+04  -0.294653E+02   0.339236E-03  -0.294653E+02   0.874316E+00  -0.538126E-06   0.339236E-03  -0.538126E-06   0.872893E-07
   112   0.301865E+04  -0.300740E+02   0.335372E-03  -0.300740E+02   0.885728E+00  -0.528001E-06   0.335372E-03  -0.528001E-06   0.867109E-07
   113   0.305137E+04  -0.306768E+02   0.331566E-03  -0.306768E+02   0.896852E+00  -0.523219E-06   0.331566E-03  -0.523219E-06   0.861369E-07
   114   0.308418E+04  -0.312730E+02   0.327817E-03  -0.312730E+02   0.907615E+00  -0.523318E-06   0.327817E-03  -0.523318E-06   0.855672E-07
   115   0.311720E+04  -0.318626E+02   0.324124E-03  -0.318626E+02   0.918166E+00  -0.527838E-06   0.324124E-03  -0.527838E-06   0.850020E-07
   116   0.315023E+04  -0.324447E+02   0.320486E-03  -0.324447E+02   0.928281E+00  -0.536316E-06   0.320486E-03  -0.536316E-06   0.844411E-07
   117   0.318355E+04  -0.330187E+02   0.316903E-03  -0.330187E+02   0.938037E+00  -0.548291E-06   0.316903E-03  -0.548291E-06   0.838845E-07
   118   0.321701E+04  -0.335853E+02   0.313375E-03  -0.335853E+02   0.947581E+00  -0.563301E-06   0.313375E-03  -0.563301E-06   0.833323E-07
   119   0.325046E+04  -0.341421E+02   0.309899E-03  -0.341421E+02   0.956766E+00  -0.580885E-06   0.309899E-03  -0.580885E-06   0.827844E-07
   120   0.328406E+04  -0.346892E+02   0.306477E-03  -0.346892E+02   0.965442E+00  -0.600580E-06   0.306477E-03  -0.600580E-06   0.822409E-07
   121   0.331765E+04  -0.352267E+02   0.303106E-03  -0.352267E+02   0.973909E+00  -0.621926E-06   0.303106E-03  -0.621926E-06   0.817017E-07
   122   0.335131E+04  -0.357536E+02   0.299787E-03  -0.357536E+02   0.981868E+00  -0.644461E-06   0.299787E-03  -0.644461E-06   0.811668E-07
   123   0.338503E+04  -0.362700E+02   0.296519E-03  -0.362700E+02   0.989394E+00  -0.667723E-06   0.296519E-03  -0.667723E-06   0.806362E-07
   124   0.341881E+04  -0.367730E+02   0.293301E-03  -0.367730E+02   0.996562E+00  -0.691250E-06   0.293301E-03  -0.691250E-06   0.801099E-07
   125   0.345258E+04  -0.372646E+02   0.290131E-03  -0.372646E+02   0.100330E+01  -0.714581E-06   0.290131E-03  -0.714581E-06   0.795878E-07
   126   0.348641E+04  -0.377442E+02   0.287011E-03  -0.377442E+02   0.100968E+01  -0.737255E-06   0.287011E-03  -0.737255E-06   0.790701E-07
   127   0.352023E+04  -0.382111E+02   0.283939E-03  -0.382111E+02   0.101555E+01  -0.758809E-06   0.283939E-03  -0.758809E-06   0.785566E-07
   128   0.355402E+04  -0.386643E+02   0.280914E-03  -0.386643E+02   0.102107E+01  -0.778782E-06   0.280914E-03  -0.778782E-06   0.780474E-07
   129   0.358788E+04  -0.391032E+02   0.277935E-03  -0.391032E+02   0.102608E+01  -0.796712E-06   0.277935E-03  -0.796712E-06   0.775425E-07
   130   0.362172E+04  -0.395271E+02   0.275003E-03  -0.395271E+02   0.103059E+01  -0.812138E-06   0.275003E-03  -0.812138E-06   0.770418E-07
   131   0.365553E+04  -0.399374E+02   0.272115E-03  -0.399374E+02   0.103474E+01  -0.824707E-06   0.272115E-03  -0.824707E-06   0.765453E-07
   132   0.368940E+04  -0.403311E+02   0.269273E-03  -0.403311E+02   0.103839E+01  -0.834499E-06   0.269273E-03  -0.834499E-06   0.760531E-07
   133   0.372318E+04  -0.407105E+02   0.266473E-03  -0.407105E+02   0.104160E+01  -0.841704E-06   0.266473E-03  -0.841704E-06   0.755650E-07
   134   0.375695E+04  -0.410712E+02   0.263717E-03  -0.410712E+02   0.104439E+01  -0.846511E-06   0.263717E-03  -0.846511E-06   0.750811E-07
   135   0.379070E+04  -0.414162E+02   0.261003E-03  -0.414162E+02   0.104668E+01  -0.849110E-06   0.261003E-03  -0.849110E-06   0.746013E-07
   136   0.382428E+04  -0.417419E+02   0.258331E-03  -0.417419E+02   0.104846E+01  -0.849689E-06   0.258331E-03  -0.849689E-06   0.741256E-07
   137   0.385786E+04  -0.420505E+02   0.255699E-03  -0.420505E+02   0.104982E+01  -0.848438E-06   0.255699E-03  -0.848438E-06   0.736539E-07
   138   0.389135E+04  -0.423405E+02   0.253107E-03  -0.423405E+02   0.105067E+01  -0.845546E-06   0.253107E-03  -0.845546E-06   0.731863E-07
   139   0.392460E+04  -0.426113E+02   0.250554E-03  -0.426113E+02   0.105117E+01  -0.841203E-06   0.250554E-03  -0.841203E-06   0.727226E-07
   140   0.395792E+04  -0.428635E+02   0.248040E-03  -0.428635E+02   0.105109E+01  -0.835597E-06   0.248040E-03  -0.835597E-06   0.722630E-07
   141   0.399101E+04  -0.430952E+02   0.245563E-03  -0.430952E+02   0.105052E+01  -0.828919E-06   0.245563E-03  -0.828919E-06   0.718072E-07
   142   0.402410E+04  -0.433069E+02   0.243122E-03  -0.433069E+02   0.104952E+01  -0.821357E-06   0.243122E-03  -0.821357E-06   0.713554E-07
   143   0.405710E+04  -0.434988E+02   0.240718E-03  -0.434988E+02   0.104809E+01  -0.813101E-06   0.240718E-03  -0.813101E-06   0.709074E-07
   144   0.408988E+04  -0.436701E+02   0.238349E-03  -0.436701E+02   0.104616E+01  -0.804339E-06   0.238349E-03  -0.804339E-06   0.704633E-07
   145   0.412251E+04  -0.438202E+02   0.236015E-03  -0.438202E+02   0.104388E+01  -0.795262E-06   0.236015E-03  -0.795262E-06   0.700230E-07
   146   0.415520E+04  -0.439491E+02   0.233714E-03  -0.439491E+02   0.104102E+01  -0.786059E-06   0.233714E-03  -0.786059E-06   0.695864E-07
   147   0.418753E+04  -0.440553E+02   0.231446E-03  -0.440553E+02   0.103782E+01  -0.776919E-06   0.231446E-03  -0.776919E-06   0.691536E-07
   148   0.421971E+04  -0.441403E+02   0.229211E-03  -0.441403E+02   0.103411E+01  -0.768030E-06   0.229211E-03  -0.768030E-06   0.687245E-07
   149   0.425182E+04  -0.442028E+02   0.227007E-03  -0.442028E+02   0.102999E+01  -0.759584E-06   0.227007E-03  -0.759584E-06   0.682991E-07
   150   0.428364E+04  -0.442405E+02   0.224833E-03  -0.442405E+02   0.102551E+01  -0.751768E-06   0.224833E-03  -0.751768E-06   0.678774E-07
   151   0.431531E+04  -0.442564E+02   0.222689E-03  -0.442564E+02   0.102061E+01  -0.744730E-06   0.222689E-03  -0.744730E-06   0.674593E-07
   152   0.434669E+04  -0.442490E+02   0.220575E-03  -0.442490E+02   0.101521E+01  -0.738448E-06   0.220575E-03  -0.738448E-06   0.670448E-07
   153   0.437792E+04  -0.442161E+02   0.218490E-03  -0.442161E+02   0.100946E+01  -0.732857E-06   0.218490E-03  -0.732857E-06   0.666338E-07
   154   0.440893E+04  -0.441600E+02   0.216433E-03  -0.441600E+02   0.100336E+01  -0.727893E-06   0.216433E-03  -0.727893E-06   0.662264E-07
   155   0.443972E+04  -0.440798E+02   0.214403E-03  -0.440798E+02   0.996912E+00  -0.723492E-06   0.214403E-03  -0.723492E-06   0.658225E-07
   156   0.447014E+04  -0.439756E+02   0.212401E-03  -0.439756E+02   0.990111E+00  -0.719589E-06   0.212401E-03  -0.719589E-06   0.654221E-07
   157   0.450049E+04  -0.438459E+02   0.210426E-03  -0.438459E+02   0.982960E+00  -0.716120E-06   0.210426E-03  -0.716120E-06   0.650252E-07
   158   0.453054E+04  -0.436914E+02   0.208476E-03  -0.436914E+02   0.975531E+00  -0.713021E-06   0.208476E-03  -0.713021E-06   0.646318E-07
   159   0.456029E+04  -0.435121E+02   0.206553E-03  -0.435121E+02   0.967676E+00  -0.710228E-06   0.206553E-03  -0.710228E-06   0.642417E-07
   160   0.458981E+04  -0.433065E+02   0.204654E-03  -0.433065E+02   0.959544E+00  -0.707675E-06   0.204654E-03  -0.707675E-06   0.638550E-07
   161   0.461911E+04  -0.430761E+02   0.202780E-03  -0.430761E+02   0.951208E+00  -0.705299E-06   0.202780E-03  -0.705299E-06   0.634717E-07
   162   0.464811E+04  -0.428209E+02   0.200930E-03  -0.428209E+02   0.942518E+00  -0.703036E-06   0.200930E-03  -0.703036E-06   0.630918E-07
   163   0.467696E+04  -0.425395E+02   0.199104E-03  -0.425395E+02   0.933551E+00  -0.700820E-06   0.199104E-03  -0.700820E-06   0.627151E-07
   164   0.470535E+04  -0.422332E+02   0.197301E-03  -0.422332E+02   0.924378E+00  -0.698589E-06   0.197301E-03  -0.698589E-06   0.623418E-07
   165   0.473359E+04  -0.418998E+02   0.195520E-03  -0.418998E+02   0.914926E+00  -0.696276E-06   0.195520E-03  -0.696276E-06   0.619717E-07
   166   0.476153E+04  -0.415409E+02   0.193761E-03  -0.415409E+02   0.905343E+00  -0.693819E-06   0.193761E-03  -0.693819E-06   0.616048E-07
   167   0.478924E+04  -0.411571E+02   0.192023E-03  -0.411571E+02   0.895405E+00  -0.691152E-06   0.192023E-03  -0.691152E-06   0.612412E-07
   168   0.481649E+04  -0.407463E+02   0.190307E-03  -0.407463E+02   0.885484E+00  -0.688211E-06   0.190307E-03  -0.688211E-06   0.608807E-07
   169   0.484343E+04  -0.403084E+02   0.188610E-03  -0.403084E+02   0.875283E+00  -0.684932E-06   0.188610E-03  -0.684932E-06   0.605234E-07
   170   0.487007E+04  -0.398449E+02   0.186934E-03  -0.398449E+02   0.865023E+00  -0.681252E-06   0.186934E-03  -0.681252E-06   0.601693E-07
   171   0.489626E+04  -0.393536E+02   0.185277E-03  -0.393536E+02   0.854705E+00  -0.677104E-06   0.185277E-03  -0.677104E-06   0.598182E-07
   172   0.492206E+04  -0.388359E+02   0.183638E-03  -0.388359E+02   0.844254E+00  -0.672425E-06   0.183638E-03  -0.672425E-06   0.594702E-07
   173   0.494740E+04  -0.382919E+02   0.182018E-03  -0.382919E+02   0.833670E+00  -0.667151E-06   0.182018E-03  -0.667151E-06   0.591253E-07
   174   0.497243E+04  -0.377215E+02   0.180416E-03  -0.377215E+02   0.823249E+00  -0.661217E-06   0.180416E-03  -0.661217E-06   0.587834E-07
   175   0.499707E+04  -0.371240E+02   0.178831E-03  -0.371240E+02   0.812693E+00  -0.654559E-06   0.178831E-03  -0.654559E-06   0.584446E-07
   176   0.502119E+04  -0.364994E+02   0.177262E-03  -0.364994E+02   0.802227E+00  -0.647129E-06   0.177262E-03  -0.647129E-06   0.581087E-07
   177   0.504491E+04  -0.358492E+02   0.175710E-03  -0.358492E+02   0.791774E+00  -0.638946E-06   0.175710E-03  -0.638946E-06   0.577757E-07
   178   0.506818E+04  -0.351719E+02   0.174174E-03  -0.351719E+02   0.781556E+00  -0.630045E-06   0.174174E-03  -0.630045E-06   0.574457E-07
   179   0.509099E+04  -0.344675E+02   0.172654E-03  -0.344675E+02   0.771276E+00  -0.620461E-06   0.172654E-03  -0.620461E-06   0.571186E-07
